Username,Protocol,Timestamp,Image,Position,Score,Moves,ClickOrder
00001,Combo,"1/31/2026, 4:56:15 PM",target_000055,"P1:(1,1)",7,1,3
00001,Combo,"1/31/2026, 4:56:15 PM",target_000274,"P1:(1,2)",7,1,4
00001,Combo,"1/31/2026, 4:56:15 PM",target_000335,"P1:(1,3)",4,1,5
00001,Combo,"1/31/2026, 4:56:15 PM",target_000426,"P1:(2,1)",4,1,7
00001,Combo,"1/31/2026, 4:56:15 PM",target_000515,"P1:(2,3)",3,1,6
00001,Combo,"1/31/2026, 4:56:15 PM",target_000735,"P1:(3,1)",3,1,8
00001,Combo,"1/31/2026, 4:56:15 PM",target_000772,"P1:(3,2)",6,2,2
00001,Combo,"1/31/2026, 4:56:15 PM",target_000818,"P1:(3,3)",7,1,1
00001,Combo,"1/31/2026, 4:56:15 PM",target_000819,"P2:(1,1)",5,1,5
00001,Combo,"1/31/2026, 4:56:15 PM",target_000824,"P2:(1,2)",2,1,6
00001,Combo,"1/31/2026, 4:56:15 PM",target_000884,"P2:(1,3)",4,1,4
00001,Combo,"1/31/2026, 4:56:15 PM",target_000934,"P2:(2,1)",5,0,-
00001,Combo,"1/31/2026, 4:56:15 PM",target_000936,"P2:(2,3)",7,1,3
00001,Combo,"1/31/2026, 4:56:15 PM",target_001050,"P2:(3,1)",2,1,2
00001,Combo,"1/31/2026, 4:56:15 PM",target_001066,"P2:(3,2)",6,1,1
00001,Combo,"1/31/2026, 4:56:15 PM",target_001302,"P2:(3,3)",5,0,-
00001,Combo,"1/31/2026, 4:56:15 PM",target_002107,"P3:(1,1)",7,1,1
00001,Combo,"1/31/2026, 4:56:15 PM",target_001497,"P3:(1,2)",4,1,2
00001,Combo,"1/31/2026, 4:56:15 PM",target_001322,"P3:(1,3)",3,1,3
00001,Combo,"1/31/2026, 4:56:15 PM",target_001335,"P3:(2,1)",6,1,4
00001,Combo,"1/31/2026, 4:56:15 PM",target_001434,"P3:(2,3)",6,1,5
00001,Combo,"1/31/2026, 4:56:15 PM",target_001444,"P3:(3,1)",3,1,6
00001,Combo,"1/31/2026, 4:56:15 PM",target_001503,"P3:(3,2)",5,1,7
00001,Combo,"1/31/2026, 4:56:15 PM",target_001529,"P3:(3,3)",2,1,8
00001,Combo,"1/31/2026, 4:56:15 PM",target_001684,"P4:(1,1)",3,1,1
00001,Combo,"1/31/2026, 4:56:15 PM",target_002186,"P4:(1,2)",7,1,2
00001,Combo,"1/31/2026, 4:56:15 PM",target_001556,"P4:(1,3)",3,1,3
00001,Combo,"1/31/2026, 4:56:15 PM",target_001569,"P4:(2,1)",5,1,4
00001,Combo,"1/31/2026, 4:56:15 PM",target_001615,"P4:(2,2)",3,1,5
